,term,count,num_docs,label,subjectivity_max,subjectivity_min,subjectivity_mean
15080,shame,1,1,['neutral'],0.30000000000000004,0.30000000000000004,0.30000000000000004
15081,shampoo,1,1,['positive'],0.4515151515151515,0.4515151515151515,0.4515151515151515
15082,shandong,1,1,['neutral'],0.9,0.9,0.9
15084,shanxi,1,1,['negative'],0.38749999999999996,0.38749999999999996,0.38749999999999996
15086,shaped,1,1,['neutral'],0.45,0.45,0.45
6850,genepoc,1,1,['neutral'],0.6,0.6,0.6
6849,genentech,1,1,['positive'],0.4,0.4,0.4
15092,shareholding,1,1,['neutral'],0.0,0.0,0.0
15121,shining,1,1,['positive'],0.2873737373737374,0.2873737373737374,0.2873737373737374
7020,gmsl,1,1,['positive'],0.7,0.7,0.7
6541,fpso,1,1,['neutral'],0.3111111111111111,0.3111111111111111,0.3111111111111111
6535,fourpoint,1,1,['neutral'],0.35530303030303034,0.35530303030303034,0.35530303030303034
6205,finalized,1,1,['neutral'],0.6,0.6,0.6
15468,snowbird,1,1,['neutral'],1.0,1.0,1.0
6197,filtrete,1,1,['positive'],0.5,0.5,0.5
15475,snowstorm,1,1,['negative'],0.35555555555555557,0.35555555555555557,0.35555555555555557
15476,snp,1,1,['positive'],0.8333333333333334,0.8333333333333334,0.8333333333333334
12368,planograms,1,1,['neutral'],0.6269841269841271,0.6269841269841271,0.6269841269841271
15477,snus,1,1,['neutral'],0.16666666666666666,0.16666666666666666,0.16666666666666666
15478,soanda,1,1,['negative'],0.33541666666666664,0.33541666666666664,0.33541666666666664
6178,figurative,1,1,['positive'],0.5,0.5,0.5
15479,soapbark,1,1,['negative'],0.44523809523809527,0.44523809523809527,0.44523809523809527
6172,fifa,1,1,['positive'],0.44999999999999996,0.44999999999999996,0.44999999999999996
6170,fieldwork,1,1,['positive'],0.38125,0.38125,0.38125
15464,snoopy,1,1,['neutral'],0.5702380952380952,0.5702380952380952,0.5702380952380952
6165,fidget,1,1,['neutral'],0.45454545454545453,0.45454545454545453,0.45454545454545453
6162,fiction,1,1,['positive'],0.67,0.67,0.67
6159,ficc,1,1,['negative'],0.34444444444444444,0.34444444444444444,0.34444444444444444
6158,fica,1,1,['positive'],0.5,0.5,0.5
15482,socal,1,1,['positive'],0.4079124579124579,0.4079124579124579,0.4079124579124579
6155,fibromyalgia,1,1,['neutral'],0.2888888888888889,0.2888888888888889,0.2888888888888889
6154,fibroid,1,1,['positive'],1.0,1.0,1.0
6153,fibre,1,1,['positive'],0.5722222222222222,0.5722222222222222,0.5722222222222222
15489,socialization,1,1,['positive'],0.5,0.5,0.5
15490,socializing,1,1,['neutral'],0.5392857142857143,0.5392857142857143,0.5392857142857143
15494,socio,1,1,['neutral'],0.9,0.9,0.9
6144,fi,1,1,['positive'],0.4625,0.4625,0.4625
6140,fgd,1,1,['negative'],0.75,0.75,0.75
6163,fide,1,1,['positive'],0.0,0.0,0.0
6139,ffpe,1,1,['positive'],0.35833333333333334,0.35833333333333334,0.35833333333333334
15463,snf,1,1,['negative'],0.20694444444444446,0.20694444444444446,0.20694444444444446
6216,financier,1,1,['positive'],0.39277777777777784,0.39277777777777784,0.39277777777777784
6277,fixation,1,1,['neutral'],0.5,0.5,0.5
15420,smartwatches,1,1,['positive'],0.30476190476190473,0.30476190476190473,0.30476190476190473
6275,fittingly,1,1,['positive'],0.40151515151515155,0.40151515151515155,0.40151515151515155
6273,fitter,1,1,['positive'],0.125,0.125,0.125
15421,smartwater,1,1,['positive'],0.7292929292929292,0.7292929292929292,0.7292929292929292
6271,fitbit,1,1,['positive'],0.6083333333333333,0.6083333333333333,0.6083333333333333
15422,smartway,1,1,['positive'],0.5416666666666666,0.5416666666666666,0.5416666666666666
15427,smelter,1,1,['positive'],0.3666666666666667,0.3666666666666667,0.3666666666666667
6263,fischer,1,1,['positive'],0.3,0.3,0.3
15430,smidge,1,1,['neutral'],0.512962962962963,0.512962962962963,0.512962962962963
6260,firstnet,1,1,['neutral'],0.3333333333333333,0.3333333333333333,0.3333333333333333
6258,firsthand,1,1,['neutral'],0.2803030303030303,0.2803030303030303,0.2803030303030303
15457,snapper,1,1,['positive'],0.3,0.3,0.3
15433,smiley,1,1,['neutral'],0.13333333333333333,0.13333333333333333,0.13333333333333333
6247,firebag,1,1,['positive'],0.5,0.5,0.5
15434,smith,1,1,['positive'],0.45454545454545453,0.45454545454545453,0.45454545454545453
6243,fionx,1,1,['neutral'],0.375,0.375,0.375
15439,smokehouse,1,1,['neutral'],0.55,0.55,0.55
15440,smokeless,1,1,['positive'],0.3333333333333333,0.3333333333333333,0.3333333333333333
6237,finisher,1,1,['positive'],0.1,0.1,0.1
15446,smoothest,1,1,['positive'],0.0,0.0,0.0
6230,fingerprint,1,1,['neutral'],0.42946428571428574,0.42946428571428574,0.42946428571428574
15447,smoothy,1,1,['neutral'],0.5,0.5,0.5
6228,finfet,1,1,['positive'],0.15,0.15,0.15
15450,snackier,1,1,['positive'],0.7333333333333333,0.7333333333333333,0.7333333333333333
6219,find,1,1,['positive'],0.22727272727272727,0.22727272727272727,0.22727272727272727
6248,fired,1,1,['negative'],0.5,0.5,0.5
6136,fewest,1,1,['positive'],0.35,0.35,0.35
6132,feudal,1,1,['positive'],0.9,0.9,0.9
6131,fetch,1,1,['positive'],0.4625,0.4625,0.4625
15539,solidity,1,1,['positive'],0.525,0.525,0.525
6055,favorably,1,1,['positive'],0.2916666666666667,0.2916666666666667,0.2916666666666667
15540,solimix,1,1,['positive'],0.6,0.6,0.6
6051,faulty,1,1,['neutral'],0.0,0.0,0.0
6049,fatty,1,1,['positive'],0.43,0.43,0.43
15544,solti,1,1,['neutral'],0.6,0.6,0.6
6044,fatal,1,1,['neutral'],0.9,0.9,0.9
6042,fasttr,1,1,['neutral'],0.0,0.0,0.0
